club,aim_offset,mean_birdie_prob,var_birdie_prob
1E 60 deg,-20.0,0.09765526975194613,9.914801048650753e-05
1E 60 deg,-18.0,0.09483975196878115,8.19968766663921e-05
1E 60 deg,-16.0,0.09368323435386022,0.00010326404072659438
1E 60 deg,-14.0,0.09924329693118732,7.527496140804532e-05
1E 60 deg,-12.0,0.09718619485696157,0.00013620659693547286
1E 60 deg,-10.0,0.09720163022478422,0.00010157477015269954
1E 60 deg,-8.0,0.09251479680339496,9.538212033433852e-05
1E 60 deg,-6.0,0.0959733617802461,0.00013200857894350506
1E 60 deg,-4.0,0.09835435276230177,7.018081978296003e-05
1E 60 deg,-2.0,0.09799177000919977,8.263382309487952e-05
1E 60 deg,0.0,0.0951283780237039,0.00011018143533739639
1E 60 deg,2.0,0.09886919607718786,8.095231456288665e-05
1E 60 deg,4.0,0.0974347822368145,8.55933108972116e-05
1E 60 deg,6.0,0.09572743798295656,9.601697292468656e-05
1E 60 deg,8.0,0.09590746834874153,0.00015876567005788377
1E 60 deg,10.0,0.0955367145438989,0.00011300340705261308
1E 60 deg,12.0,0.09960574507713318,8.714983749610476e-05
1E 60 deg,14.0,0.09830896556377411,0.0001643253688749217
1E 60 deg,16.0,0.09796231091022492,0.00013117681681876548
1E 60 deg,18.0,0.09695437972744306,0.00011420877821695349
1E 60 deg,20.0,0.09774131079514821,7.440181218044068e-05
1Q 60 deg,-20.0,0.07327125842372577,0.00010863153650601007
1Q 60 deg,-18.0,0.07352864816784858,0.00013816572387789715
1Q 60 deg,-16.0,0.07120538180073102,0.0001483074285122239
1Q 60 deg,-14.0,0.0742580401400725,9.563166211853262e-05
1Q 60 deg,-12.0,0.06987064157923063,0.00010075050247606828
1Q 60 deg,-10.0,0.07377993911504746,0.00012185607314985601
1Q 60 deg,-8.0,0.06729903643329939,0.00021583590848177507
1Q 60 deg,-6.0,0.06608809853593509,0.00014365083805664036
1Q 60 deg,-4.0,0.07125397399067879,9.321510793589097e-05
1Q 60 deg,-2.0,0.0698049155374368,0.00013872118922405617
1Q 60 deg,0.0,0.07261883616447448,9.88265714997379e-05
1Q 60 deg,2.0,0.06996989970405897,0.00010493304350946412
1Q 60 deg,4.0,0.06921903043985367,0.00013955959131240666
1Q 60 deg,6.0,0.07218311131000518,0.00010502894586889541
1Q 60 deg,8.0,0.07400528093179067,0.00013631691852520456
1Q 60 deg,10.0,0.07267148916920026,0.00012796223811662298
1Q 60 deg,12.0,0.07031972706317902,0.00013823560612425217
1Q 60 deg,14.0,0.06813578829169273,8.089359054170908e-05
1Q 60 deg,16.0,0.07297291407982508,0.00010671771736685148
1Q 60 deg,18.0,0.07268985708554586,0.00011996253870726237
1Q 60 deg,20.0,0.07241615876555443,0.00013961584055868648
3-wood,-20.0,0.10982614358266195,0.0007614651767711283
3-wood,-18.0,0.12041780749956767,0.0010088008602199337
3-wood,-16.0,0.1144823451836904,0.0005923528151110189
3-wood,-14.0,0.11575069427490234,0.0006342702758190911
3-wood,-12.0,0.11943914492925008,0.0009193275689429787
3-wood,-10.0,0.11706395943959554,0.0005394274790342576
3-wood,-8.0,0.1215942790110906,0.0005208205094669487
3-wood,-6.0,0.1154126505057017,0.0007960924240795305
3-wood,-4.0,0.123605744043986,0.000718970798208676
3-wood,-2.0,0.11704876820246378,0.0008055604579911423
3-wood,0.0,0.1136017103989919,0.0009332514149623429
3-wood,2.0,0.11811523536841075,0.0008326601546426273
3-wood,4.0,0.11719826459884644,0.0002494187040318133
3-wood,6.0,0.11572083234786987,0.0005049953749807301
3-wood,8.0,0.12114563435316086,0.00027305723996426726
3-wood,10.0,0.11885895331700642,0.00037364922814329623
3-wood,12.0,0.11827966074148814,0.0006000396605777829
3-wood,14.0,0.11237000773350397,0.00029375633557417543
3-wood,16.0,0.11887423197428386,0.0006637948535519516
3-wood,18.0,0.12586838603019715,0.0007553681753557838
