x,y,club,aim_offset,mean_birdie_prob,var_birdie_prob,n_total,seed,N
-40.0,50.0,Driver,-20.0,0.0,0.0,20,42,20
-28.88888888888889,50.0,Driver,-20.0,0.0,0.0,20,42,20
-17.77777777777778,50.0,Driver,-20.0,0.0,0.0,20,42,20
-6.666666666666671,50.0,Driver,-20.0,0.0,0.0,20,42,20
4.444444444444443,50.0,Driver,-20.0,0.0,0.0,20,42,20
15.555555555555557,50.0,Driver,-20.0,0.0,0.0,20,42,20
26.666666666666657,50.0,Driver,-20.0,0.0,0.0,20,42,20
37.77777777777777,50.0,Driver,-20.0,0.0,0.0,20,42,20
48.888888888888886,50.0,Driver,-20.0,0.0,0.0,20,42,20
60.0,50.0,Driver,-20.0,0.0,0.0,20,42,20
-40.0,58.668052705684886,Driver,-20.0,0.0,0.0,20,42,20
-28.88888888888889,58.668052705684886,Driver,-20.0,0.0,0.0,20,42,20
-17.77777777777778,58.668052705684886,Driver,-20.0,0.0,0.0,20,42,20
-6.666666666666671,58.668052705684886,Driver,-20.0,0.0,0.0,20,42,20
4.444444444444443,58.668052705684886,Driver,-20.0,0.0,0.0,20,42,20
15.555555555555557,58.668052705684886,Driver,-20.0,0.0,0.0,20,42,20
26.666666666666657,58.668052705684886,Driver,-20.0,0.0,0.0,20,42,20
37.77777777777777,58.668052705684886,Driver,-20.0,0.0,0.0,20,42,20
48.888888888888886,58.668052705684886,Driver,-20.0,0.0,0.0,20,42,20
60.0,58.668052705684886,Driver,-20.0,0.0,0.0,20,42,20
-40.0,67.33610541136977,Driver,-20.0,0.0,0.0,20,42,20
-28.88888888888889,67.33610541136977,Driver,-20.0,0.0,0.0,20,42,20
-17.77777777777778,67.33610541136977,Driver,-20.0,0.0,0.0,20,42,20
-6.666666666666671,67.33610541136977,Driver,-20.0,0.0,0.0,20,42,20
4.444444444444443,67.33610541136977,Driver,-20.0,0.0,0.0,20,42,20
15.555555555555557,67.33610541136977,Driver,-20.0,0.0,0.0,20,42,20
26.666666666666657,67.33610541136977,Driver,-20.0,0.0,0.0,20,42,20
37.77777777777777,67.33610541136977,Driver,-20.0,0.0,0.0,20,42,20
48.888888888888886,67.33610541136977,Driver,-20.0,0.0,0.0,20,42,20
60.0,67.33610541136977,Driver,-20.0,0.0,0.0,20,42,20
-40.0,76.00415811705466,Driver,-20.0,0.0,0.0,20,42,20
-28.88888888888889,76.00415811705466,Driver,-20.0,0.0,0.0,20,42,20
-17.77777777777778,76.00415811705466,Driver,-20.0,0.0,0.0,20,42,20
-6.666666666666671,76.00415811705466,Driver,-20.0,0.0,0.0,20,42,20
4.444444444444443,76.00415811705466,Driver,-20.0,0.0,0.0,20,42,20
15.555555555555557,76.00415811705466,Driver,-20.0,0.0,0.0,20,42,20
26.666666666666657,76.00415811705466,Driver,-20.0,0.0,0.0,20,42,20
37.77777777777777,76.00415811705466,Driver,-20.0,0.0,0.0,20,42,20
48.888888888888886,76.00415811705466,Driver,-20.0,0.0,0.0,20,42,20
60.0,76.00415811705466,Driver,-20.0,0.0,0.0,20,42,20
-40.0,84.67221082273954,Driver,-20.0,0.0,0.0,20,42,20
-28.88888888888889,84.67221082273954,Driver,-20.0,0.0,0.0,20,42,20
-17.77777777777778,84.67221082273954,Driver,-20.0,0.0,0.0,20,42,20
-6.666666666666671,84.67221082273954,Driver,-20.0,0.0,0.0,20,42,20
4.444444444444443,84.67221082273954,Driver,-20.0,0.0,0.0,20,42,20
15.555555555555557,84.67221082273954,Driver,-20.0,0.0,0.0,20,42,20
26.666666666666657,84.67221082273954,Driver,-20.0,0.0,0.0,20,42,20
37.77777777777777,84.67221082273954,Driver,-20.0,0.0,0.0,20,42,20
48.888888888888886,84.67221082273954,Driver,-20.0,0.0,0.0,20,42,20
60.0,84.67221082273954,Driver,-20.0,0.0,0.0,20,42,20
-40.0,93.34026352842443,Driver,-20.0,0.0,0.0,20,42,20
-28.88888888888889,93.34026352842443,Driver,-20.0,0.0,0.0,20,42,20
-17.77777777777778,93.34026352842443,Driver,-20.0,0.0,0.0,20,42,20
-6.666666666666671,93.34026352842443,Driver,-20.0,0.0,0.0,20,42,20
4.444444444444443,93.34026352842443,Driver,-20.0,0.0,0.0,20,42,20
15.555555555555557,93.34026352842443,Driver,-20.0,0.0,0.0,20,42,20
26.666666666666657,93.34026352842443,Driver,14.0,0.06463663280010223,0.037603672593832016,20,42,20
37.77777777777777,93.34026352842443,Driver,-20.0,0.0,0.0,20,42,20
48.888888888888886,93.34026352842443,Driver,-20.0,0.0,0.0,20,42,20
60.0,93.34026352842443,Driver,-20.0,0.0,0.0,20,42,20
-40.0,102.00831623410933,Driver,-20.0,0.0,0.0,20,42,20
-28.88888888888889,102.00831623410933,Driver,-20.0,0.0,0.0,20,42,20
-17.77777777777778,102.00831623410933,Driver,-20.0,0.0,0.0,20,42,20
-6.666666666666671,102.00831623410933,Driver,-16.0,0.02113349363207817,0.008485864847898483,20,42,20
4.444444444444443,102.00831623410933,Driver,16.0,0.01240229606628418,0.002922522136941552,20,42,20
15.555555555555557,102.00831623410933,Driver,-20.0,0.0,0.0,20,42,20
26.666666666666657,102.00831623410933,Driver,8.0,0.10679560899734497,0.050136465579271317,20,42,20
37.77777777777777,102.00831623410933,Driver,-20.0,0.0,0.0,20,42,20
48.888888888888886,102.00831623410933,Driver,-20.0,0.0,0.0,20,42,20
60.0,102.00831623410933,Driver,-20.0,0.0,0.0,20,42,20
-40.0,110.67636893979422,Driver,-20.0,0.0,0.0,20,42,20
-28.88888888888889,110.67636893979422,Driver,12.0,0.005515475757420063,0.0005779889761470258,20,42,20
-17.77777777777778,110.67636893979422,Driver,18.0,0.011407390236854553,0.0024724421091377735,20,42,20
-6.666666666666671,110.67636893979422,Driver,-6.0,0.02237236686050892,0.007622300647199154,20,42,20
4.444444444444443,110.67636893979422,Driver,10.0,0.016463305801153183,0.005149768199771643,20,42,20
15.555555555555557,110.67636893979422,Driver,-20.0,0.0,0.0,20,42,20
26.666666666666657,110.67636893979422,Driver,2.0,0.16412615776062012,0.08939073979854584,20,42,20
37.77777777777777,110.67636893979422,Driver,-6.0,0.0357336699962616,0.024261001497507095,20,42,20
48.888888888888886,110.67636893979422,Driver,4.0,0.003549461020156741,0.00023937477089930326,20,42,20
60.0,110.67636893979422,Driver,8.0,0.017317989841103554,0.0056983428075909615,20,42,20
-40.0,119.3444216454791,Driver,14.0,0.026429127901792526,0.013271480798721313,20,42,20
-28.88888888888889,119.3444216454791,Driver,-10.0,0.010785308666527271,0.0022101341746747494,20,42,20
-17.77777777777778,119.3444216454791,Driver,-6.0,0.005529162473976612,0.0005808610585518181,20,42,20
-6.666666666666671,119.3444216454791,Driver,16.0,0.01920868642628193,0.007010497152805328,20,42,20
4.444444444444443,119.3444216454791,Driver,2.0,0.03597790375351906,0.01287895254790783,20,42,20
15.555555555555557,119.3444216454791,Driver,8.0,0.019230308011174202,0.007026289589703083,20,42,20
26.666666666666657,119.3444216454791,Driver,-2.0,0.15392717719078064,0.08767813444137573,20,42,20
37.77777777777777,119.3444216454791,Driver,6.0,0.14796039462089539,0.08413738012313843,20,42,20
