WKT,fid,full_id,osm_id,osm_type,golf,type,lie,layer,hole_ref,path
"MULTIPOLYGON (((11.809439902414264 189.965421959713, 7.483201677975916 202.39200496250874, 0.5894664055017068 206.38709104337408, -4.346972346691953 204.01830738199237, -7.325684816961037 198.10988466745016, -8.67040230041171 189.99346326677028, -10.834082867954475 181.57461805417938, -7.646366224150428 167.75666793026517, -9.127639278284862 160.08423743978824, -12.122413150392108 151.227986609548, -11.767089818453105 136.95620828184587, -9.346864521655622 123.15686149989574, -3.4835007638758824 105.73253463837432, 4.35800368931121 88.4696981486752, 12.239802254804435 88.169156193336, 16.92751903081698 93.96294599448424, 10.699551580627663 109.29360579037052, 4.039059132461611 126.65847609238085, -2.4002672362576707 143.9670581414282, -2.040481964685408 151.34392032093842, 3.9456079229985397 165.0908549501412, 10.483314828202818 172.43955865514977, 13.04438533787918 181.55475217445542, 11.809439902414264 189.965421959713), (-4.727736462225857 168.76733375166964, -7.676270928433218 172.45862587961597, -9.14489092518762 178.87319570064278, -8.005810860097007 185.35585421528026, -7.086167945473225 193.87758449851958, -2.5574352687138657 203.6418336761983, 1.4467391983447264 202.93698952431782, 5.569136266391038 201.5338028255303, 8.943210704900663 191.40070539876774, 9.598280170405273 175.63108094013046, 5.591818291339764 169.2618501828531, 2.299981787106481 166.46456324803808, -4.727736462225857 168.76733375166964)))",8.0,r16389197,16389197,relation,fairway,multipolygon,fairway,Fairways,9,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((11.876870057942527 129.74519319508204, 8.71287319154263 134.31145198428226, 5.915931807066844 141.451786343913, 3.4116901363699994 151.09399474989573, 4.584614007039692 160.57131732008088, 7.978722618036474 166.41985784766916, 12.532482165183742 170.9747442103992, 17.56593692315837 173.96997018922661, 22.857524727368933 177.97478118005643, 25.99341513393803 176.5697245808053, 29.41040975419042 167.97152453259628, 29.793029544749913 159.99482185695229, 25.78281670311663 153.98662977177878, 25.56539366344845 148.79810365597336, 27.237629044975076 146.36111891045744, 28.501849403739794 145.87865399991983, 31.787802008491518 144.68337754092886, 32.86031341096189 141.16137579413703, 30.55785719514587 136.78682225355146, 26.514935340620465 133.53618534892234, 19.6248143779659 130.01939636176417, 15.528398752767133 128.79155449790574, 11.876870057942527 129.74519319508204)))",21.0,w1211363244,1211363244,way,water_hazard,multipolygon,water_hazard,Fairways,9,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((16.227735102656204 204.69346988259417, 14.388084870844732 209.69806923881265, 10.871640277641841 212.7590549138347, 8.128768973499398 218.53752206836475, 5.363486965991197 223.41209413137335, 2.1484322742834316 220.71400507626208, 0.6616615076856127 215.8501932966476, 3.055689492430223 210.36871720407476, 7.419332360944286 206.71601385026975, 11.7731938165344 201.59508862990492, 14.9045846534376 201.60003357996288, 16.227735102656204 204.69346988259417)))",55.0,w1208043375,1208043375,way,bunker,multipolygon,bunker,Greens and bunks,9,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-9.27799854318465 192.59689289318544, -8.01243742637146 201.4939443361675, -5.226449876109883 210.19181093213206, -6.564485340908466 220.12372927168485, -13.930645618146182 220.87568912909887, -15.358450645312109 210.72705146076146, -15.377797603384012 202.10376559918473, -16.205371657305754 197.22461204283377, -16.427096221208835 192.189608900552, -12.156340134537645 189.46683096865286, -10.255230787355181 189.8787777485711, -9.27799854318465 192.59689289318544)))",56.0,w1208043376,1208043376,way,bunker,multipolygon,bunker,Greens and bunks,9,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((-4.727736462225857 168.76733375166964, -7.676270928433218 172.45862587961597, -9.14489092518762 178.87319570064278, -8.005810860097007 185.35585421528026, -7.086167945473225 193.87758449851958, -2.5574352687138657 203.6418336761983, 1.4467391983447264 202.93698952431782, 5.569136266391038 201.5338028255303, 8.943210704900663 191.40070539876774, 9.598280170405273 175.63108094013046, 5.591818291339764 169.2618501828531, 2.299981787106481 166.46456324803808, -4.727736462225857 168.76733375166964)))",57.0,w1208043377,1208043377,way,green,multipolygon,green,Greens and bunks,9,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((9.881661896539669 -0.2001547612724153, 8.28103738760645 6.1552287051824806, 1.1621791077561814 6.940344588509788, -5.449669677442568 8.030512182143639, -10.802572024345467 10.643767144309777, -14.387504330361013 7.857563304359019, -10.805461492575887 2.455352258940593, -7.319832607206891 -2.4589611294379665, 0.9425122264189433 -9.299207853761118, 6.943857473981335 -11.543997155403076, 10.566703399315156 -9.997361496574513, 10.022338771231004 -3.9715536305141086, 9.881661896539669 -0.2001547612724153)))",58.0,w1208043379,1208043379,way,tee,multipolygon,tee,Greens and bunks,9,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
"MULTIPOLYGON (((6.469636210108468 34.23115290313376, 4.6521728925269015 40.942713784392026, 1.565353926655842 43.09521330862822, -3.0481714572898166 43.96729143246944, -6.4217190982118755 39.65657747299588, -7.0897505698534555 35.898255938810735, -3.900590181746849 33.273470730581494, -2.0572325605641235 31.884784114389504, 2.683169964536768 30.914141774225072, 6.469636210108468 34.23115290313376)))",59.0,w1208043380,1208043380,way,tee,multipolygon,tee,Greens and bunks,9,"/Users/federicadomecq/Desktop/fair, green and bunk.gpkg|layername=fair, green and bunks"
