x,y,N,tolerance,club_agreement,aim_agreement,median_aim,n_seeds
-40.0,171.35273787958843,50,3,0.89,0.33,-12.0,100
-40.0,171.35273787958843,100,1,0.91,0.15,-14.0,100
-40.0,171.35273787958843,100,2,0.91,0.45,-14.0,100
-40.0,171.35273787958843,100,3,0.91,0.45,-14.0,100
-40.0,171.35273787958843,150,1,0.91,0.17,-14.0,100
-40.0,171.35273787958843,150,2,0.91,0.5,-14.0,100
-40.0,171.35273787958843,150,3,0.91,0.5,-14.0,100
-40.0,171.35273787958843,200,1,0.92,0.26,-15.0,100
-40.0,171.35273787958843,200,2,0.92,0.26,-15.0,100
-40.0,171.35273787958843,200,3,0.92,0.62,-15.0,100
-40.0,171.35273787958843,250,1,0.95,0.18,-16.0,100
-40.0,171.35273787958843,250,2,0.95,0.53,-16.0,100
-40.0,171.35273787958843,250,3,0.95,0.53,-16.0,100
-40.0,171.35273787958843,300,1,0.94,0.15,-14.0,100
-40.0,171.35273787958843,300,2,0.94,0.49,-14.0,100
-40.0,171.35273787958843,300,3,0.94,0.49,-14.0,100
-40.0,180.02079058527332,10,1,0.82,0.2,-16.0,100
-40.0,180.02079058527332,10,2,0.82,0.51,-16.0,100
-40.0,180.02079058527332,10,3,0.82,0.51,-16.0,100
-40.0,180.02079058527332,20,1,0.93,0.11,-16.0,100
-40.0,180.02079058527332,20,2,0.93,0.44,-16.0,100
-40.0,180.02079058527332,20,3,0.93,0.44,-16.0,100
-40.0,180.02079058527332,30,1,0.97,0.19,-16.0,100
-40.0,180.02079058527332,30,2,0.97,0.53,-16.0,100
-40.0,180.02079058527332,30,3,0.97,0.53,-16.0,100
-40.0,180.02079058527332,50,1,1.0,0.3,-18.0,100
-40.0,180.02079058527332,50,2,1.0,0.8,-18.0,100
-40.0,180.02079058527332,50,3,1.0,0.8,-18.0,100
-40.0,180.02079058527332,100,1,1.0,0.26,-18.0,100
-40.0,180.02079058527332,100,2,1.0,0.89,-18.0,100
-40.0,180.02079058527332,100,3,1.0,0.89,-18.0,100
-40.0,180.02079058527332,150,1,1.0,0.29,-18.0,100
-40.0,180.02079058527332,150,2,1.0,0.92,-18.0,100
-40.0,180.02079058527332,150,3,1.0,0.92,-18.0,100
-40.0,180.02079058527332,200,1,1.0,0.29,-18.0,100
-40.0,180.02079058527332,200,2,1.0,0.9,-18.0,100
-40.0,180.02079058527332,200,3,1.0,0.9,-18.0,100
-40.0,180.02079058527332,250,1,1.0,0.3,-18.0,100
-40.0,180.02079058527332,250,2,1.0,0.9,-18.0,100
-40.0,180.02079058527332,250,3,1.0,0.9,-18.0,100
-40.0,180.02079058527332,300,1,1.0,0.35,-18.0,100
-40.0,180.02079058527332,300,2,1.0,0.91,-18.0,100
-40.0,180.02079058527332,300,3,1.0,0.91,-18.0,100
-40.0,188.6888432909582,10,1,0.7,0.12,-12.0,100
-40.0,188.6888432909582,10,2,0.7,0.37,-12.0,100
-40.0,188.6888432909582,10,3,0.7,0.37,-12.0,100
-40.0,188.6888432909582,20,1,0.81,0.16,-12.0,100
-40.0,188.6888432909582,20,2,0.81,0.5,-12.0,100
-40.0,188.6888432909582,20,3,0.81,0.5,-12.0,100
-40.0,188.6888432909582,30,1,0.82,0.15,-14.0,100
-40.0,188.6888432909582,30,2,0.82,0.48,-14.0,100
