seed,N_from,N_to,N,tolerance,match_rate
29,50,100,100,2,61.07142857142858
29,50,100,100,3,61.07142857142858
29,100,150,150,1,57.49999999999999
29,100,150,150,2,70.35714285714286
29,100,150,150,3,70.35714285714286
29,150,200,200,1,63.57142857142857
29,150,200,200,2,76.78571428571429
29,150,200,200,3,76.78571428571429
29,200,250,250,1,66.07142857142857
29,200,250,250,2,77.14285714285715
29,200,250,250,3,77.14285714285715
29,250,300,300,1,77.5
29,250,300,300,2,84.28571428571429
29,250,300,300,3,84.28571428571429
30,10,20,20,1,36.07142857142857
30,10,20,20,2,48.214285714285715
30,10,20,20,3,48.214285714285715
30,20,30,30,1,48.214285714285715
30,20,30,30,2,58.214285714285715
30,20,30,30,3,58.214285714285715
30,30,50,50,1,47.85714285714286
30,30,50,50,2,57.85714285714286
30,30,50,50,3,57.85714285714286
30,50,100,100,1,48.92857142857142
30,50,100,100,2,64.28571428571429
30,50,100,100,3,64.28571428571429
30,100,150,150,1,59.64285714285714
30,100,150,150,2,72.14285714285714
30,100,150,150,3,72.14285714285714
30,150,200,200,1,57.14285714285714
30,150,200,200,2,71.07142857142857
30,150,200,200,3,71.07142857142857
30,200,250,250,1,67.85714285714286
30,200,250,250,2,81.42857142857143
30,200,250,250,3,81.42857142857143
30,250,300,300,1,78.57142857142857
30,250,300,300,2,88.21428571428571
30,250,300,300,3,88.21428571428571
31,10,20,20,1,36.78571428571429
31,10,20,20,2,47.14285714285714
31,10,20,20,3,47.14285714285714
31,20,30,30,1,58.92857142857143
31,20,30,30,2,68.92857142857143
31,20,30,30,3,68.92857142857143
31,30,50,50,1,52.5
31,30,50,50,2,63.21428571428571
31,30,50,50,3,63.21428571428571
31,50,100,100,1,47.14285714285714
31,50,100,100,2,61.78571428571429
31,50,100,100,3,61.78571428571429
31,100,150,150,1,59.64285714285714
31,100,150,150,2,73.92857142857143
31,100,150,150,3,73.92857142857143
31,150,200,200,1,70.0
31,150,200,200,2,82.14285714285714
31,150,200,200,3,82.14285714285714
31,200,250,250,1,72.85714285714285
31,200,250,250,2,84.28571428571429
31,200,250,250,3,84.28571428571429
31,250,300,300,1,73.92857142857143
31,250,300,300,2,83.21428571428572
31,250,300,300,3,83.21428571428572
32,10,20,20,1,33.57142857142857
32,10,20,20,2,45.357142857142854
32,10,20,20,3,45.357142857142854
32,20,30,30,1,58.57142857142858
32,20,30,30,2,66.78571428571428
32,20,30,30,3,66.78571428571428
32,30,50,50,1,52.142857142857146
32,30,50,50,2,62.857142857142854
32,30,50,50,3,62.857142857142854
32,50,100,100,1,42.5
32,50,100,100,2,56.07142857142857
32,50,100,100,3,56.07142857142857
32,100,150,150,1,51.78571428571429
32,100,150,150,2,67.85714285714286
32,100,150,150,3,67.85714285714286
32,150,200,200,1,65.0
32,150,200,200,2,74.64285714285714
32,150,200,200,3,74.64285714285714
32,200,250,250,1,71.42857142857143
32,200,250,250,2,82.5
32,200,250,250,3,82.5
32,250,300,300,1,73.21428571428571
32,250,300,300,2,84.28571428571429
32,250,300,300,3,84.28571428571429
33,10,20,20,1,36.07142857142857
33,10,20,20,2,43.92857142857143
