x,y,N,club_agreement,aim_agreement,joint_agreement,n_seeds
60.0,162.68468517390357,10,0.99,0.12,0.12,100
60.0,171.35273787958843,10,0.95,0.15,0.13,100
60.0,180.02079058527332,10,0.75,0.25,0.19,100
60.0,188.6888432909582,10,0.89,0.15,0.13,100
60.0,197.3568959966431,10,1.0,0.12,0.12,100
60.0,206.024948702328,10,0.96,0.12,0.12,100
60.0,214.6930014080129,10,0.99,0.14,0.13,100
60.0,223.36105411369775,10,0.94,0.2,0.2,100
60.0,232.02910681938263,10,0.89,0.17,0.16,100
60.0,240.69715952506752,10,0.97,0.17,0.17,100
60.0,249.3652122307524,10,0.72,0.17,0.13,100
60.0,258.0332649364373,10,0.7,0.18,0.13,100
60.0,266.7013176421222,10,0.88,0.28,0.24,100
60.0,275.3693703478071,10,0.73,0.19,0.17,100
60.0,284.037423053492,10,0.66,0.28,0.18,100
-40.0,50.0,20,1.0,0.2,0.2,100
-40.0,58.668052705684886,20,0.99,0.26,0.26,100
-40.0,67.33610541136977,20,0.5,0.27,0.17,100
-40.0,76.00415811705466,20,0.58,0.33,0.23,100
-40.0,84.67221082273954,20,0.71,0.25,0.21,100
-40.0,93.34026352842444,20,0.54,0.39,0.23,100
-40.0,102.00831623410932,20,0.86,0.09,0.09,100
-40.0,110.67636893979422,20,0.97,0.14,0.14,100
-40.0,119.3444216454791,20,0.93,0.21,0.21,100
-40.0,128.01247435116397,20,0.96,0.24,0.24,100
-40.0,136.68052705684886,20,0.99,0.21,0.21,100
-40.0,145.34857976253377,20,0.93,0.2,0.2,100
-40.0,154.01663246821866,20,0.99,0.24,0.24,100
-40.0,162.68468517390357,20,0.85,0.19,0.15,100
-40.0,171.35273787958843,20,0.87,0.13,0.12,100
-40.0,180.02079058527332,20,0.93,0.25,0.21,100
-40.0,188.6888432909582,20,0.81,0.2,0.18,100
-40.0,197.3568959966431,20,0.96,0.18,0.17,100
-40.0,206.024948702328,20,0.66,0.15,0.1,100
-40.0,214.6930014080129,20,0.98,0.21,0.21,100
-40.0,223.36105411369775,20,0.83,0.23,0.21,100
-40.0,232.02910681938263,20,0.84,0.2,0.2,100
-40.0,240.69715952506752,20,0.44,0.2,0.11,100
-40.0,249.3652122307524,20,0.72,0.29,0.21,100
-40.0,258.0332649364373,20,0.99,0.23,0.23,100
-40.0,266.7013176421222,20,0.96,0.32,0.31,100
-40.0,275.3693703478071,20,0.97,0.38,0.36,100
-40.0,284.037423053492,20,0.59,0.25,0.25,100
-28.88888888888889,50.0,20,0.99,0.2,0.2,100
-28.88888888888889,58.668052705684886,20,0.87,0.24,0.21,100
-28.88888888888889,67.33610541136977,20,0.81,0.19,0.17,100
