N,match_rate_pct,seed
170,82.5,96
180,81.79,96
190,86.43,96
200,81.07,96
210,86.07,96
220,90.36,96
230,88.21,96
240,88.93,96
250,89.64,96
260,87.14,96
270,86.79,96
280,86.43,96
290,90.0,96
300,91.79,96
10,,97
20,27.86,97
30,49.64,97
40,55.36,97
50,60.36,97
60,69.29,97
70,69.29,97
80,70.36,97
90,72.14,97
100,76.79,97
110,81.79,97
120,81.43,97
130,80.0,97
140,81.07,97
150,82.14,97
160,82.86,97
170,84.64,97
180,82.5,97
190,85.71,97
200,82.14,97
210,84.29,97
220,85.0,97
230,86.07,97
240,86.07,97
250,86.43,97
260,88.93,97
270,86.43,97
280,86.07,97
290,88.57,97
300,87.14,97
10,,98
20,42.14,98
30,50.0,98
40,60.36,98
50,66.43,98
60,71.79,98
70,75.0,98
80,77.86,98
90,78.93,98
100,78.21,98
110,80.0,98
120,83.21,98
130,79.29,98
140,80.36,98
150,82.5,98
160,82.5,98
170,81.79,98
180,87.14,98
190,85.0,98
200,80.71,98
210,86.07,98
220,84.64,98
230,87.5,98
240,87.5,98
250,85.36,98
260,85.36,98
270,88.21,98
280,85.71,98
290,88.93,98
300,89.29,98
10,,99
20,36.79,99
30,50.36,99
40,56.79,99
50,64.64,99
60,58.93,99
70,72.5,99
80,73.57,99
90,73.57,99
100,78.57,99
110,73.93,99
120,81.43,99
130,81.07,99
140,79.29,99
150,78.93,99
160,79.64,99
170,80.71,99
180,82.5,99
190,83.21,99
200,86.07,99
210,85.36,99
220,88.57,99
230,87.86,99
240,92.5,99
250,87.14,99
260,83.57,99
270,86.43,99
280,89.64,99
290,88.21,99
300,89.29,99
