lie,polygon_id,x,y
fairway,0,11.809439902414264,349.965421959713
fairway,0,7.483201677975916,362.39200496250874
fairway,0,0.5894664055017068,366.3870910433741
fairway,0,-4.346972346691953,364.0183073819924
fairway,0,-7.325684816961037,358.10988466745016
fairway,0,-8.67040230041171,349.9934632667703
fairway,0,-10.834082867954475,341.5746180541794
fairway,0,-7.646366224150428,327.75666793026517
fairway,0,-9.127639278284862,320.08423743978824
fairway,0,-12.122413150392108,311.227986609548
fairway,0,-11.767089818453105,296.9562082818459
fairway,0,-9.346864521655622,283.15686149989574
fairway,0,-3.4835007638758824,265.7325346383743
fairway,0,4.35800368931121,248.4696981486752
fairway,0,12.239802254804435,248.169156193336
fairway,0,16.92751903081698,253.96294599448424
fairway,0,10.699551580627663,269.2936057903705
fairway,0,4.039059132461611,286.65847609238085
fairway,0,-2.4002672362576707,303.9670581414282
fairway,0,-2.040481964685408,311.3439203209384
fairway,0,3.9456079229985397,325.0908549501412
fairway,0,10.483314828202818,332.43955865514977
fairway,0,13.04438533787918,341.5547521744554
fairway,0,11.809439902414264,349.965421959713
water_hazard,1,11.876870057942527,289.74519319508204
water_hazard,1,8.71287319154263,294.31145198428226
water_hazard,1,5.915931807066844,301.451786343913
water_hazard,1,3.4116901363699994,311.0939947498957
water_hazard,1,4.584614007039692,320.5713173200809
water_hazard,1,7.978722618036474,326.41985784766916
water_hazard,1,12.532482165183742,330.9747442103992
water_hazard,1,17.56593692315837,333.9699701892266
water_hazard,1,22.857524727368933,337.9747811800564
water_hazard,1,25.99341513393803,336.5697245808053
water_hazard,1,29.41040975419042,327.9715245325963
water_hazard,1,29.793029544749913,319.9948218569523
water_hazard,1,25.78281670311663,313.9866297717788
water_hazard,1,25.56539366344845,308.79810365597336
water_hazard,1,27.237629044975076,306.36111891045744
water_hazard,1,28.501849403739794,305.87865399991983
water_hazard,1,31.787802008491518,304.68337754092886
water_hazard,1,32.86031341096189,301.16137579413703
water_hazard,1,30.55785719514587,296.78682225355146
water_hazard,1,26.514935340620465,293.53618534892234
water_hazard,1,19.6248143779659,290.01939636176417
water_hazard,1,15.528398752767133,288.79155449790574
water_hazard,1,11.876870057942527,289.74519319508204
bunker,2,16.227735102656204,364.6934698825942
bunker,2,14.388084870844732,369.69806923881265
bunker,2,10.871640277641841,372.7590549138347
bunker,2,8.128768973499398,378.53752206836475
bunker,2,5.363486965991197,383.41209413137335
bunker,2,2.1484322742834316,380.7140050762621
bunker,2,0.6616615076856127,375.8501932966476
bunker,2,3.055689492430223,370.36871720407476
bunker,2,7.419332360944286,366.71601385026975
bunker,2,11.7731938165344,361.5950886299049
bunker,2,14.9045846534376,361.6000335799629
bunker,2,16.227735102656204,364.6934698825942
bunker,3,-9.27799854318465,352.59689289318544
bunker,3,-8.01243742637146,361.4939443361675
bunker,3,-5.226449876109883,370.19181093213206
bunker,3,-6.564485340908466,380.12372927168485
bunker,3,-13.930645618146182,380.8756891290989
bunker,3,-15.358450645312109,370.72705146076146
bunker,3,-15.377797603384012,362.1037655991847
bunker,3,-16.205371657305754,357.22461204283377
bunker,3,-16.427096221208835,352.189608900552
bunker,3,-12.156340134537645,349.46683096865286
bunker,3,-10.255230787355181,349.8787777485711
bunker,3,-9.27799854318465,352.59689289318544
green,4,-4.727736462225857,328.76733375166964
green,4,-7.676270928433218,332.45862587961597
green,4,-9.14489092518762,338.8731957006428
green,4,-8.005810860097007,345.35585421528026
green,4,-7.086167945473225,353.8775844985196
green,4,-2.5574352687138657,363.6418336761983
green,4,1.4467391983447264,362.9369895243178
green,4,5.569136266391038,361.5338028255303
green,4,8.943210704900663,351.40070539876774
green,4,9.598280170405273,335.63108094013046
green,4,5.591818291339764,329.2618501828531
green,4,2.299981787106481,326.4645632480381
green,4,-4.727736462225857,328.76733375166964
tee,5,9.881661896539669,-0.2001547612724153
tee,5,8.28103738760645,6.1552287051824806
tee,5,1.1621791077561814,6.940344588509788
tee,5,-5.449669677442568,8.030512182143639
tee,5,-10.802572024345467,10.643767144309777
tee,5,-14.387504330361013,7.857563304359019
tee,5,-10.805461492575887,2.455352258940593
tee,5,-7.319832607206891,-2.4589611294379665
tee,5,0.9425122264189433,-9.299207853761118
tee,5,6.943857473981335,-11.543997155403076
tee,5,10.566703399315156,-9.997361496574513
tee,5,10.022338771231004,-3.9715536305141086
tee,5,9.881661896539669,-0.2001547612724153
tee,6,6.469636210108468,34.23115290313376
tee,6,4.6521728925269015,40.942713784392026
tee,6,1.565353926655842,43.09521330862822
tee,6,-3.0481714572898166,43.96729143246944
tee,6,-6.4217190982118755,39.65657747299588
tee,6,-7.0897505698534555,35.898255938810735
tee,6,-3.900590181746849,33.273470730581494
tee,6,-2.0572325605641235,31.884784114389504
tee,6,2.683169964536768,30.914141774225072
tee,6,6.469636210108468,34.23115290313376
new_fairway,7,26.647141975029996,84.82346324930825
new_fairway,7,36.99417599034413,112.64988980034727
new_fairway,7,44.929326950720224,145.41157329503446
new_fairway,7,52.87430448520263,176.72408868747684
new_fairway,7,42.47301245720081,194.84313374883953
new_fairway,7,37.94565247869892,223.80910366271843
new_fairway,7,29.533288858741713,236.73559492651015
new_fairway,7,19.462768520462532,256.21977466637406
new_fairway,7,9.98075594420746,251.32686097021983
new_fairway,7,2.4194320934851987,251.38489910764326
new_fairway,7,6.601345993573801,235.88586727900173
new_fairway,7,3.6255257534047303,223.60027215892603
new_fairway,7,0.48439451092380637,210.63213036384346
new_fairway,7,-2.9873673200910673,196.2989047674053
new_fairway,7,-11.039677817288634,180.9262429182948
new_fairway,7,-8.958408329252649,174.6257972633918
new_fairway,7,-11.880743558249037,167.02867405290402
new_fairway,7,-2.5827772967561202,123.50324310202629
new_fairway,7,4.113000451976177,125.8289663213263
new_fairway,7,9.889780480804433,125.84982201353998
new_fairway,7,17.159508194663204,118.63045834442013
new_fairway,7,21.5701135750696,107.05341028710316
new_fairway,7,24.58993113334887,100.15967918182515
new_fairway,7,26.340630454238124,92.49418136814951
new_fairway,7,26.647141975029996,84.82346324930825
new_hazard3,8,57.529370019138184,195.68618667955974
new_hazard3,8,6.605523276985167,210.1584169289718
new_hazard3,8,-1.5140373415771364,217.57642689876525
new_hazard3,8,-21.276034404980294,225.01776478145678
new_hazard3,8,-34.372587287501005,236.77041419653557
new_hazard3,8,-43.58552461822728,241.57881654272506
new_hazard3,8,-47.731381327706856,224.14028700074675
new_hazard3,8,-39.94908202206415,216.81816860910942
new_hazard3,8,-23.81514055418205,213.32816885133082
new_hazard3,8,-10.879681071701043,204.90657148380873
new_hazard3,8,5.806285546432235,196.8792242955211
new_hazard3,8,20.05216817079409,195.75092544042118
new_hazard3,8,33.1230030938772,189.11597188940243
new_hazard3,8,57.24352344846906,185.54635975794835
new_hazard3,8,57.69042524555596,192.35507355145597
new_hazard3,8,57.529370019138184,195.68618667955974
